From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP,RF,Xylene,AT,TOT-RF,Station
01-01-2020 00:00,02-01-2020 00:00,54.66,129.15,33.13,33.83,66.98,None,12.36,2.55,35.38,0,None,None,None,65.36,0.09,125.67,114.69,769.84,0,None,None,0,bandra
02-01-2020 00:00,03-01-2020 00:00,60.25,117.23,17.77,28.03,45.81,None,14.1,2.38,23.03,0,None,None,None,71.28,0.08,109.09,112.69,771.42,0,None,None,0,bandra
03-01-2020 00:00,04-01-2020 00:00,55.67,100.72,21.19,25.7,46.89,None,13.2,2.22,33.1,0,None,None,None,68.72,0.12,127.71,103.66,770.8,0,None,None,0,bandra
04-01-2020 00:00,05-01-2020 00:00,31.42,49.3,16.71,23.64,40.35,None,4.21,2.03,36.92,0.01,None,None,None,64.46,0.1,113.06,107.06,769.49,0,None,None,0,bandra
05-01-2020 00:00,06-01-2020 00:00,44.59,62.4,25.56,30.41,55.98,None,3.9,2.43,27.56,0,None,None,None,64.61,0.26,127.22,106.37,768.44,0,None,None,0,bandra
06-01-2020 00:00,07-01-2020 00:00,44.49,75.68,24.34,34.11,58.45,None,7.7,2.5,27.52,0,None,None,None,62.9,0.27,115.73,116.32,769.36,0,None,None,0,bandra
07-01-2020 00:00,08-01-2020 00:00,52.25,102.83,32.95,33.54,66.49,None,11.63,2.74,25.74,0.01,None,None,None,71.34,0.08,164.37,94.84,768.94,0,None,None,0,bandra
08-01-2020 00:00,09-01-2020 00:00,42.44,80.04,15.43,29.75,45.19,None,20.26,2.24,32.54,0,None,None,None,69.3,0.1,146.65,108.81,768.88,0,None,None,0,bandra
09-01-2020 00:00,10-01-2020 00:00,42.42,85.09,15.13,37.41,51.83,None,21.21,2.44,33.93,0,None,None,None,62.01,0.37,136.34,91.05,769.22,0,None,None,0,bandra
10-01-2020 00:00,11-01-2020 00:00,51.17,106.16,18.92,42.38,60.65,None,28.22,2.62,30.83,0,None,None,None,58.63,0.83,129.27,113.19,768.61,0,None,None,0,bandra
11-01-2020 00:00,12-01-2020 00:00,53.45,118.12,22.49,46.93,69.43,None,34.97,3.06,29.14,0,None,None,None,62.33,0.4,123.81,115.65,769.33,0,None,None,0,bandra
12-01-2020 00:00,13-01-2020 00:00,86.99,446.69,28.74,45.96,74.72,None,33.24,3.86,36.19,0.01,None,None,None,69.3,0.19,163.13,107.75,769.04,0,None,None,0,bandra
13-01-2020 00:00,14-01-2020 00:00,27.08,None,7.01,29.47,36.49,None,28.09,2.4,40.32,0,None,None,None,77.64,0.14,124.78,95.15,768.41,0,None,None,0,bandra
14-01-2020 00:00,15-01-2020 00:00,30.33,None,6.78,24.31,31.09,None,24.13,2.1,37.7,0,None,None,None,68.76,0.29,149.64,101.65,768.3,0,None,None,0,bandra
15-01-2020 00:00,16-01-2020 00:00,None,None,10.53,24.43,34.97,None,18.88,2.13,33.96,0,None,None,None,58.45,0.16,146.57,116.86,768.84,0,None,None,0,bandra
16-01-2020 00:00,17-01-2020 00:00,None,None,13.14,28.4,41.55,None,14.67,2.28,28.29,0,None,None,None,61.73,0.26,110.17,101.47,769.89,0,None,None,0,bandra
17-01-2020 00:00,18-01-2020 00:00,None,None,11.74,30.29,42.05,None,9.74,2.4,31.04,0,None,None,None,56.7,0.38,88.71,140.33,769.99,0,None,None,0,bandra
18-01-2020 00:00,19-01-2020 00:00,None,None,19.64,37.46,57.1,None,11.5,2.84,31.39,0,None,None,None,64.86,0.2,64,70.32,768.42,0,None,None,0,bandra
19-01-2020 00:00,20-01-2020 00:00,None,None,8.86,37.54,46.41,None,16.61,2.9,34.83,0,None,None,None,68.99,0.3,63.96,117.35,768.43,0,None,None,0,bandra
20-01-2020 00:00,21-01-2020 00:00,None,None,9.21,38.82,48.02,None,23.08,3.8,29.74,0.01,None,None,None,69.41,0.17,86.07,130.71,768.77,0,None,None,0,bandra
21-01-2020 00:00,22-01-2020 00:00,None,None,23.15,44.27,67.43,None,25.54,4.21,29.24,0.13,None,None,None,70.49,0.15,137.79,106.6,769.71,0,None,None,0,bandra
22-01-2020 00:00,23-01-2020 00:00,None,None,44.67,47.17,91.85,None,27.63,4.62,30.96,0.05,None,None,None,64.64,0.16,193.5,115.25,770.35,0,None,None,0,bandra
23-01-2020 00:00,24-01-2020 00:00,None,None,9.05,35.05,44.08,None,28.54,3.83,30.16,0,None,None,None,64.09,0.33,100.52,130.03,769.53,0,None,None,0,bandra
24-01-2020 00:00,25-01-2020 00:00,None,None,20.09,38.79,58.87,None,27.31,3.64,28.71,0.01,None,None,None,62.14,0.23,126.63,145.81,769.12,0,None,None,0,bandra
25-01-2020 00:00,26-01-2020 00:00,None,None,10.48,32.78,43.27,None,27.56,3.6,42.39,0,None,None,None,66.08,0.21,124.2,118.84,769.1,0,None,None,0,bandra
26-01-2020 00:00,27-01-2020 00:00,None,None,13.75,39.92,53.68,None,26.78,3.74,48.89,0.01,None,None,None,70.02,0.13,104.68,100.08,767.68,0,None,None,0,bandra
27-01-2020 00:00,28-01-2020 00:00,None,None,2.28,14.11,16.4,None,21.87,2.45,46.44,0,None,None,None,74.04,0.19,111.52,127.28,767.94,0,None,None,0,bandra
28-01-2020 00:00,29-01-2020 00:00,None,None,1.47,3.81,2.96,None,12.94,2.41,16.1,1.16,None,None,None,70.91,0.33,157.6,136.91,768.55,0,None,None,0,bandra
29-01-2020 00:00,30-01-2020 00:00,None,None,None,3.3,1.91,None,0.06,2.82,14,0.72,None,None,None,62.51,0.28,86.69,157.56,770.76,0,None,None,0,bandra
30-01-2020 00:00,31-01-2020 00:00,None,None,None,3.35,2.23,None,None,3.15,19.82,0.85,None,None,None,55.67,0.57,148.16,167.42,769.91,0,None,None,0,bandra
31-01-2020 00:00,01-02-2020 00:00,None,None,None,3.38,2.38,None,None,3.33,21.48,1.48,None,None,None,62.48,0.27,100.45,138.69,768.45,0,None,None,0,bandra
01-02-2020 00:00,02-02-2020 00:00,None,None,0.46,3.3,1.7,None,0.04,3.41,25.23,1.57,None,None,None,66.85,0.28,72.79,121.39,768.02,0,None,None,0,bandra
02-02-2020 00:00,03-02-2020 00:00,None,None,None,3.26,1.41,None,0.05,3.63,20.41,2.45,None,None,None,67.81,0.14,126.64,151.16,769.17,0,None,None,0,bandra
03-02-2020 00:00,04-02-2020 00:00,None,None,None,3.27,1.39,None,0.08,3.79,22.34,0,None,None,None,77.36,0.11,141.56,106.94,769.93,0,None,None,0,bandra
04-02-2020 00:00,05-02-2020 00:00,None,None,None,3.32,1.77,None,0.02,3.92,21.08,0,None,None,None,84.57,0.09,89.23,13.22,769.17,0,None,None,0,bandra
05-02-2020 00:00,06-02-2020 00:00,None,None,None,3.22,1.18,None,None,3.69,30.24,0,None,None,None,51.28,0.45,113.26,175.71,768.66,0,None,None,0,bandra
06-02-2020 00:00,07-02-2020 00:00,None,None,None,3.28,1.63,None,None,3.79,23.21,0,None,None,None,60.41,0.32,116.38,95.16,768.79,0,None,None,0,bandra
07-02-2020 00:00,08-02-2020 00:00,None,None,None,3.32,1.78,None,None,3.85,21.88,0,None,None,None,52.61,0.57,94.95,157.22,769.95,0,None,None,0,bandra
08-02-2020 00:00,09-02-2020 00:00,None,None,None,3.29,1.67,None,None,3.87,26.56,0,None,None,None,62.31,0.31,96.75,153.88,769.65,0,None,None,0,bandra
09-02-2020 00:00,10-02-2020 00:00,None,None,None,3.29,1.6,None,0.1,3.86,17.57,0,None,None,None,54.69,0.65,126.48,133.85,769.42,0,None,None,0,bandra
10-02-2020 00:00,11-02-2020 00:00,None,None,None,3.28,1.48,None,0.73,3.89,16.96,0,None,None,None,55.24,0.52,111.2,93.21,768.31,0,None,None,0,bandra
11-02-2020 00:00,12-02-2020 00:00,None,None,None,3.21,1.09,None,0.54,3.78,27.84,0,None,None,None,59.01,0.14,172.39,102.97,768.81,0,None,None,0,bandra
12-02-2020 00:00,13-02-2020 00:00,None,None,13.59,80,80.12,None,6.96,3.04,53.77,0.98,None,None,None,57.13,0.34,150.07,97.98,770.12,0,None,None,0,bandra
13-02-2020 00:00,14-02-2020 00:00,None,None,21.58,122.72,144.29,None,8.2,2.44,112.23,1.16,None,None,None,57.71,0.33,127.23,102.33,769.77,0,None,None,0,bandra
14-02-2020 00:00,15-02-2020 00:00,107.71,130.92,16.57,106.83,123.41,None,9.47,2.22,115.18,10.01,None,None,None,50.91,0.43,109.97,154.95,768.77,0,None,None,0,bandra
15-02-2020 00:00,16-02-2020 00:00,29.9,83.6,13.89,58.25,72.15,None,9.79,2.07,68.82,10.18,None,None,None,40.82,0.29,156.08,139.31,768.05,0,None,None,0,bandra
16-02-2020 00:00,17-02-2020 00:00,42.52,128.89,12.5,46.93,59.41,None,10.79,2.16,78.64,21.03,None,None,None,58.39,0.24,162.41,111.88,768.47,0,None,None,0,bandra
17-02-2020 00:00,18-02-2020 00:00,68.38,158.05,17.14,102.64,119.72,None,12.9,2.64,74.36,21.05,None,None,None,59.71,0.22,175.5,131.59,769.03,0,None,None,0,bandra
